Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
820076,Bryan Goncalves,7947,Center Back,218,28,N/A,First Division A,98,7.02,69,40.05,N/A,N/A,22,100,100.0,0.41,0,0.0,N/A,N/A,47,0.83,N/A,N/A,56,25.0,100,0.0,22,1.65,67,0.83,100,100.0,11,44,50.0,3.3,N/A,N/A,72,1.65,37,0.83,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,41,0.83,32,48.57,32,76.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,4.95,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,78,0.83,9,6,33.33,0.41,67,12,0.41,66.06,100,0.0,20,0.04,N/A,N/A,N/A,N/A,N/A,N/A
820477,Kevin Denkey,9984,Striker,743,23,€15M,First Division A,21,0.12,54,13.81,N/A,N/A,82,49,39.29,4.0,67,0.12,38,0.48,36,0.85,N/A,N/A,79,33.33,28,1.94,N/A,N/A,49,0.61,41,35.71,67,28,37.41,6.3,N/A,N/A,72,1.82,33,1.21,82,N/A,N/A,0.61,N/A,N/A,N/A,N/A,N/A,N/A,100,100.0,21,64.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,1.33,87,3.39,0,0.0,N/A,N/A,N/A,N/A,64,64,1.21,2.91,67,0.12,46,59,75.0,0.36,69,72,6.3,37.67,100,0.0,59,0.09,46,51,0.37,0.37,82,0.7
836791,Ortwin de Wolf,8203,Keeper,810,27,€320K,First Division A,55,7.22,N/A,N/A,40,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,0.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.22,N/A,N/A,N/A,N/A,N/A,35,1.56,N/A,65,0.4,50,1.0,N/A,N/A,50,42.48,50,70.36,N/A,N/A,N/A,N/A,N/A,5,0.33,80,0.33,N/A,0,0.0,N/A,N/A,N/A,N/A,0,0.0,65,72.55,70,4.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
837064,Hugo Vetlesen,8342,Defensive Midfielder,635,24,€6.5M,First Division A,19,0.85,48,31.89,N/A,N/A,30,33,40.0,0.57,78,0.14,67,0.43,91,2.27,N/A,N/A,86,40.0,42,0.99,81,0.43,70,0.85,59,60.0,41,77,55.38,5.1,N/A,N/A,49,1.28,68,1.42,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,64,1.13,22,42.86,53,83.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,0.57,14,3.12,100,0.0,N/A,N/A,N/A,N/A,89,84,0.71,1.98,67,0.57,72,78,75.0,1.7,35,94,4.25,54.14,25,0.43,78,0.18,91,91,0.2,0.2,79,0.16
843520,Patrik Sigurdur Gunnarsson,8571,Keeper,810,23,€950K,First Division A,40,6.67,N/A,N/A,70,0.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,30,1.67,N/A,20,-0.22,65,1.11,N/A,N/A,30,36.59,15,54.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,15,51.61,5,1.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
848646,Nathan Rodes,7947,Central Midfielder,769,26,N/A,First Division A,32,1.52,47,31.6,N/A,N/A,79,46,46.88,1.76,0,0.0,60,0.35,23,0.35,N/A,N/A,N/A,N/A,46,0.94,5,2.22,80,1.17,64,62.5,74,37,47.75,6.2,N/A,N/A,37,1.05,49,0.94,80,N/A,N/A,0.12,N/A,N/A,N/A,N/A,12,0.23,36,50.0,47,81.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,0.23,40,4.45,100,0.0,N/A,N/A,N/A,N/A,22,31,0.12,0.59,N/A,N/A,80,88,80.0,1.87,37,67,1.76,54.89,38,0.23,48,0.09,58,59,0.09,0.09,69,0.12
850925,Majeed Ashimeru,8635,Defensive Midfielder,258,26,€2.2M,First Division A,40,1.74,91,53.02,N/A,N/A,19,100,100.0,0.35,0,0.0,N/A,N/A,73,1.4,N/A,N/A,N/A,N/A,1,3.14,44,1.05,89,1.74,53,55.56,91,54,51.22,7.33,N/A,N/A,96,2.79,98,3.14,98,N/A,N/A,0.35,N/A,N/A,N/A,N/A,15,0.35,95,83.33,98,91.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83,0.7,100,9.07,100,0.0,N/A,N/A,N/A,N/A,83,62,0.35,1.74,N/A,N/A,75,72,71.43,1.74,90,96,4.53,79.53,9,0.7,64,0.11,70,72,0.11,0.11,53,0.05
855623,Oday Dabbagh,9986,Striker,155,25,€1.4M,First Division A,N/A,N/A,82,16.84,N/A,N/A,26,21,33.33,1.16,0,0.0,51,0.58,85,1.74,N/A,N/A,100,100.0,82,0.58,N/A,N/A,38,0.58,31,33.33,10,31,38.46,2.9,N/A,N/A,18,0.58,8,0.58,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,82.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92,1.16,64,2.9,0,0.0,N/A,N/A,N/A,N/A,62,85,1.74,2.9,95,0.58,67,100,100.0,0.58,23,85,7.55,30.77,100,0.0,46,0.08,72,79,0.54,0.54,85,0.75
861932,Andreas Skov Olsen,8342,Right Winger,552,24,€17M,First Division A,67,1.63,87,35.05,N/A,N/A,N/A,N/A,N/A,N/A,58,0.16,70,0.98,77,2.28,N/A,N/A,58,22.22,57,1.14,48,0.65,57,1.14,75,58.33,18,43,47.5,3.1,N/A,N/A,22,0.49,60,1.47,95,N/A,N/A,0.65,N/A,N/A,N/A,N/A,82,0.65,45,55.56,93,87.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,0.16,7,1.96,0,0.0,N/A,N/A,N/A,N/A,97,93,1.63,3.91,63,0.65,10,15,33.33,0.16,72,73,5.22,56.41,100,0.0,83,0.28,97,97,0.64,0.64,95,0.64
862634,Jelle Bataille,9988,Right Back,750,25,€4.6M,First Division A,69,2.16,83,44.04,N/A,N/A,6,8,18.18,0.24,0,0.0,42,0.12,81,1.32,N/A,N/A,53,24.0,53,0.6,11,1.68,11,0.24,31,40.0,22,53,54.17,4.68,N/A,N/A,3,0.24,64,1.08,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,53,1.2,58,43.9,58,81.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,0.36,72,4.8,100,0.0,N/A,N/A,N/A,N/A,28,36,0.12,0.36,61,0.72,75,33,61.54,1.92,78,36,1.56,78.24,100,0.0,72,0.15,28,28,0.02,0.02,50,0.02
